MODELO,MEDIDAS,FOCO,CATEGORY,DESCRIPTION,FINISH,LEVEL,TYPE LIGHT,WATTS
VI6013-10,60 Ø X 70 ALTURA,GU10 130V X 10,LINEA VIENA,,,,,
VI7025-10,70 Ø X 90 ALTURA,GU10 130V X 10,LINEA VIENA,,,,,
VI8036-12,80 Ø X 110 ALTURA,GU10 130V X 12,LINEA VIENA,,,,,
VI10049-15,100 Ø X 140 ALTO,GU10 130V X 15,LINEA VIENA,,,,,
VI8050-10,80 Ø 340 ALTO,GU10 130V X 10,LINEA VIENA,,,,,
VI3006-4,30 Ø 80 ALTO,GU10 130V X 4,LINEA VIENA,,,,,
VI5013-6,50 Ø 150 ALTO,GU10 130V X 6,LINEA VIENA,,,,,
VI7024-10,70 Ø 200 ALTO,GU10 130V X 10,LINEA VIENA,,,,,
VI5009-7,50 Ø X 75 ALTURA,GU10 130V X 7,LINEA VIENA,,,,,
VI5011-6,50 Ø X 75 ALTURA,GU10 130V X 6,LINEA VIENA,,,,,
VI40408-5,40 A X 40 L X 75  A,GU10 130V X 5,LINEA VIENA,,,,,
VI12504-3,12 A X 50 L X 75 A,GU10 130V X 3,LINEA VIENA,,,,,
